PM2.5 AQI Value,AQI Category,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
56,Moderate,29.8,35.6,24.4,1015.5,65,0,16.1,16.7,25.9,-,,,,
51,Moderate,27.4,35.6,25,1015.9,77,0,16.1,17.4,24.1,-,,,,
27,Good,,,,,,,,,,,o,,o,
23,Good,,,,,,,,,,,o,,o,
15,Good,,,,,,,,,,,,,,
20,Good,24.7,32.8,22.2,1016.1,81,0,15.8,16.7,25.9,31.7,o,,,
11,Good,23.9,-,-,1019.5,78,0,16.1,16.5,18.3,-,,,,
8,Good,23.6,25.6,20.6,1016.7,93,158.24,12.6,20.2,35.2,50,o,,,
16,Good,,,,,,,,,,,o,,,
29,Good,,,,,,,,,,,,,,
29,Good,,,,,,,,,,,o,,,
19,Good,23.6,27.2,21.7,1018.9,78,0,15.6,10.6,18.3,-,o,,o,o
22,Good,20.7,27.2,18.3,1022.9,68,45.97,15,22.6,31.7,44.6,o,,,
24,Good,19.6,22.8,16.1,1022.4,72,0,16.1,5.7,13,-,,,,
37,Good,,,,,,,,,,,,,,
40,Good,,,,,,,,,,,,,,
30,Good,,,,,,,,,,,,,,
40,Good,20.9,25.6,14.4,1021.4,66,0,16.1,9.1,20.6,31.7,,,,
23,Good,21.8,25.6,16.1,1022.4,76,0,15.8,17.8,25.9,35.2,o,,,
23,Good,23.3,27.2,19.4,1010.6,83,3.56,15.8,14.8,27.8,35.2,o,,,
25,Good,,,,,,,,,,,,,,
20,Good,,,,,,,,,,,,,,
10,Good,,,,,,,,,,,o,,,
12,Good,21.8,24.4,19.4,1022,83,27.94,13.4,14.3,27.8,44.6,o,,,o
21,Good,21.1,24.4,18.9,1021.9,78,1.52,10.5,18.7,31.7,42.4,o,,,
36,Good,21.7,27.2,16.1,1022.2,64,0.76,16.1,10.7,20.6,-,,,,
44,Good,,,,,,,,,,,,,,o
39,Good,,,,,,,,,,,,,,
24,Good,,,,,,,,,,,o,,,o
17,Good,20.9,26.1,16.1,1014.2,75,0,16.1,9.1,18.3,-,,,,
23,Good,20.7,25.6,15.6,1018.4,74,0,16.1,8.1,18.3,-,,,,
21,Good,20.1,25.6,14.4,1016.9,76,0,15.9,9.3,22.2,-,,,,
22,Good,,,,,,,,,,,o,,,
18,Good,,,,,,,,,,,,,,
23,Good,,,,,,,,,,,,,,
23,Good,19.9,25.6,8.9,1019,61,0,16.1,14.4,22.2,29.4,,,,
30,Good,23.7,28.9,13.9,1014.7,61,0,16.1,19.4,31.7,38.9,,,,
29,Good,20.4,28.9,13.3,1018.4,55,0,16.1,9.6,20.6,-,,,,
37,Good,,,,,,,,,,,,,,
25,Good,,,,,,,,,,,o,,,
18,Good,,,,,,,,,,,o,,,
18,Good,22.8,27.8,17.2,1023.9,71,0,16.1,16.5,31.7,38.9,,,,
15,Good,24.3,28.9,19.4,1020.9,73,0,16.1,19.8,33.5,48.2,,,,
10,Good,24.7,28.9,19.4,1013.6,78,0,14.8,20.4,29.4,51.9,o,,,
23,Good,,,,,,,,,,,o,,,
22,Good,,,,,,,,,,,,,,
28,Good,,,,,,,,,,,,,,
19,Good,15.7,26.1,10,1014.4,47,0,16.1,24.8,40.7,50,,,,
23,Good,12.6,21.1,5.6,1019.4,57,0,16.1,8.7,20.6,-,,,,
33,Good,18.7,24.4,5.6,1012.4,63,0,16.1,11.3,20.6,31.7,,,,
21,Good,,,,,,,,,,,o,,o,
30,Good,,,,,,,,,,,o,,,
31,Good,,,,,,,,,,,,,,
41,Good,14.3,21.7,7.2,1013.5,61,0,16.1,6.3,16.5,-,,,,o
40,Good,16.7,23.3,7.2,1009,48,0,16.1,16.3,35.2,46.5,,,,
28,Good,13.7,23.3,5,1017.1,55,0,16.1,6.5,14.8,-,,,,
41,Good,,,,,,,,,,,,,,
41,Good,,,,,,,,,,,,,,
26,Good,,,,,,,,,,,o,,,
21,Good,12.8,18.9,7.2,1013,65,7.87,16.1,14.6,27.8,40.7,,,,
20,Good,12.1,17.8,7.2,1005.8,72,0,16.1,22.4,59.4,85.2,o,,,
14,Good,9.4,15.6,6.1,1013.5,57,4.57,16.1,39.4,55.4,81.7,o,,,
25,Good,10.5,17.2,3.3,1025.7,38,2.03,16.1,17,33.5,50,,,,
44,Good,,,,,,,,,,,,,,
51,Moderate,,,,,,,,,,,,,,
31,Good,,,,,,,,,,,,,,
14,Good,13.4,21.7,8.3,1009.9,63,3.81,15.8,21.1,46.5,70.6,o,,,
27,Good,9.6,16.7,1.1,1017.4,57,0.25,16.1,9.1,18.3,-,,,,
54,Moderate,12.2,16.7,1.1,1014.8,68,0,16.1,5.6,13,-,,,,
52,Moderate,,,,,,,,,,,,,,
37,Good,,,,,,,,,,,o,,,o
33,Good,,,,,,,,,,,,,,o
30,Good,11.2,22.8,8.3,1017.8,66,0,14.5,16.1,24.1,-,o,,,
29,Good,6.5,12.8,5,1019.5,62,2.03,15,24.4,33.5,46.5,o,,,
62,Moderate,4.6,8.3,1.1,1027.5,55,0.25,16.1,15.9,20.6,-,,,,
68,Moderate,,,,,,,,,,,o,,,
20,Good,,,,,,,,,,,o,,o,o
23,Good,,,,,,,,,,,,,,
18,Good,0.8,13.3,-3.3,1026.6,36,0,16.1,13.1,22.2,-,,,,
35,Good,7.2,15.6,-3.3,1019.6,39,0,16.1,21.3,35.2,50,,,,
43,Good,4.7,15.6,0,1025.9,47,0,16.1,17.2,29.4,48.2,,,,
63,Moderate,,,,,,,,,,,,,,
38,Good,,,,,,,,,,,o,,,
18,Good,,,,,,,,,,,o,,,
23,Good,17.2,25.6,12.2,1015,80,1.02,13.8,14.1,31.7,44.6,o,,,
10,Good,10.1,20,5,1013.7,87,23.37,7.1,27.8,53.5,70.6,o,,,
26,Good,5.7,12.8,2.2,1017.2,85,25.91,15,12.4,24.1,40.7,o,,,
47,Good,,,,,,,,,,,,,,
62,Moderate,,,,,,,,,,,,,,
33,Good,,,,,,,,,,,,,,
32,Good,16.1,23.9,2.8,1024.8,56,0,16.1,17.2,24.1,-,,,,
28,Good,10.2,23.9,7.8,1029.1,83,0,8.2,17.8,33.5,44.6,o,,,
30,Good,10.3,16.7,7.2,1024.9,90,0.25,5.5,13.1,22.2,-,,,,o
30,Good,,,,,,,,,,,,,,
54,Moderate,,,,,,,,,,,,,,
45,Good,,,,,,,,,,,o,,,
22,Good,8.8,18.9,6.7,1023.9,72,8.89,15,34.4,51.9,66.5,o,,,
20,Good,6.7,7.8,6.1,1030,61,0,16.1,25.6,29.4,46.5,,,,
15,Good,7.4,10.6,5.6,1014.2,90,4.32,6.4,24.4,37,57.6,o,,,
23,Good,,,,,,,,,,,o,,,
23,Good,,,,,,,,,,,,,,
35,Good,,,,,,,,,,,,,,
72,Moderate,3.8,10.6,-1.7,1018.8,65,0,15.6,9.3,22.2,-,,,,
87,Moderate,4.4,12.2,-2.2,1015.9,71,0,12.2,5.2,22.2,35.2,,,,
62,Moderate,5.6,12.8,-1.7,1018.5,75,0,14.2,4.3,11.1,-,,,,
54,Moderate,,,,,,,,,,,o,,o,o
34,Good,,,,,,,,,,,o,,,o
26,Good,,,,,,,,,,,,,,
38,Good,3.5,8.3,-2.2,1020.3,68,0,16.1,8.5,22.2,-,,,,
51,Moderate,2.6,7.2,-2.2,1024.8,70,0,16.1,5.7,13,-,,,,
70,Moderate,2.1,7.8,-2.8,1026.2,72,0,15,5.9,18.3,-,,,,
57,Moderate,,,,,,,,,,,o,,,
50,Good,,,,,,,,,,,o,,,o
10,Good,,,,,,,,,,,o,,,o
22,Good,17.2,21.7,6.1,1010.5,70,21.59,16.1,21.7,35.2,46.5,o,,,
46,Good,6.5,12.2,0,1025.1,77,0.25,15.8,5.6,16.5,-,,,,
45,Good,7.5,16.7,0,1025.4,69,0,15.1,5.6,14.8,-,,,,o
34,Good,,,,,,,,,,,o,,,
23,Good,,,,,,,,,,,o,,,
21,Good,,,,,,,,,,,o,,,
68,Moderate,1.1,2.2,0,1030,69,1.27,16.1,7.4,13,-,,,,
38,Good,2.8,10.6,-2.8,1025,56,0,16.1,16.5,38.9,46.5,,,,
36,Good,8.6,12.2,6.7,1024.5,58,0,16.1,14.6,25.9,-,,,,
25,Good,9.3,12.2,5,1030,79,0,13,10,18.3,-,o,,,o
17,Good,,,,,,,,,,,o,,,o
17,Good,,,,,,,,,,,,,,
17,Good,,,,,,,,,,,,,,
28,Good,1.5,12.2,-2.8,1019.2,59,0,15.9,18.7,42.4,55.4,,o,,
19,Good,-6.1,-3.9,-8.9,1032.8,36,0,16.1,26.5,48.2,74.1,,,,
31,Good,0.2,8.9,-8.9,1024.3,38,0,16.1,19.3,29.4,48.2,,,,
55,Moderate,,,,,,,,,,,,,,
85,Moderate,,,,,,,,,,,,,,
34,Good,,,,,,,,,,,o,,,o
45,Good,4.9,17.2,2.2,1027.2,80,19.3,12.4,23.7,33.5,48.2,o,,,
28,Good,2.5,6.1,1.1,1024.4,88,9.65,8.9,27,37,50,o,o,,
63,Moderate,2.7,5,1.1,1021.6,83,0.51,10.6,14.4,25.9,38.9,o,,,
38,Good,,,,,,,,,,,,,,
41,Good,,,,,,,,,,,,,,
18,Good,,,,,,,,,,,o,,o,o
20,Good,7.1,15,1.1,1014.3,63,20.83,16.1,13.7,22.2,-,,,,
30,Good,7.4,16.7,1.1,1013.5,68,0,16.1,9.1,16.5,-,,,,
52,Moderate,7.3,16.7,2.2,1016.7,78,0,14.8,19.6,29.4,38.9,,,,
42,Good,,,,,,,,,,,,,,o
57,Moderate,,,,,,,,,,,o,,,o
13,Good,,,,,,,,,,,o,,,
28,Good,5.7,16.1,-0.6,1010.1,63,8.64,16.1,13.9,20.6,-,,,,
25,Good,6.4,11.7,-0.6,1007.5,78,0,15.4,13,33.5,46.5,,,,
31,Good,1.9,10.6,0,1005.9,80,3.81,11.6,28.2,44.6,55.4,o,o,,
27,Good,,,,,,,,,,,,,,
28,Good,,,,,,,,,,,,,,
27,Good,,,,,,,,,,,o,,,
46,Good,-0.1,7.8,-3.9,1024.8,35,1.02,16.1,30.9,48.2,64.8,,,,
55,Moderate,1.3,8.9,-4.4,1024.4,58,0,16.1,6.1,18.3,31.7,,,,
17,Good,11.7,16.7,5.6,1006.5,76,4.06,14.6,24.8,53.5,103.5,o,,,
24,Good,0.2,3.9,-2.2,1023.8,45,4.57,16.1,24.3,46.5,64.8,,,,
21,Good,,,,,,,,,,,,,,
28,Good,,,,,,,,,,,o,,,
20,Good,,,,,,,,,,,,,,
35,Good,0.9,2.2,0,1024.4,37,0,16.1,14.4,18.3,-,,,,
52,Moderate,13.1,21.7,-2.2,1014.1,33,0,16.1,24.3,37,42.4,,,,
39,Good,11.7,21.7,5,1010.1,59,0,13.2,20,27.8,38.9,,,,o
23,Good,,,,,,,,,,,o,,,
40,Good,,,,,,,,,,,,,,
33,Good,,,,,,,,,,,o,o,,
25,Good,-2.6,2.2,-6.1,1021.8,52,0.25,16.1,28,46.5,68.3,,,,
30,Good,0.8,10,-7.2,1015.2,42,0,16.1,16.5,38.9,51.9,,,,
30,Good,-2.8,10,-7.8,1014.4,31,0,16.1,39.8,53.5,92.4,o,o,,
